what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145057533
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145058455
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145058455
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145058580
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145063908
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145065517
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145097688
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145144671
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1261145169185
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145189872
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145189888
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145211512
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145214355
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145243714
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145243932
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145244323
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145244714
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145245042
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1261145248948
activated,editor,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy.part.UMLDiagramEditorID",1261145252510
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145256807
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145256807
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145258073
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145258229
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145493190
