what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1261144143694
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1261144143741
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1261144143756
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1261144144272
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1261144144491
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1261144145459
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1261144145491
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1261144145537
started,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1261144145553
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144153553
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144164521
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1261144168677
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1261144168693
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144170521
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144172786
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144177895
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144218300
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144220065
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144221518
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144221659
stopped,bundle,org.eclipse.emf.teneo.eclipselink.ui,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink.ui",1261144222347
stopped,bundle,org.eclipse.emf.teneo.eclipselink,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink",1261144222347
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.9.0.v200906221231,"org.eclipse.emf.ecoretools.diagram",1261144222347
stopped,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1261144222347
stopped,bundle,org.eclipse.uml2.diagram.activity,0.9.0.v200906190654,"org.eclipse.uml2.diagram.activity",1261144222347
