what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261144298687
java.vm.specification.version,sysinfo,,,"1.0",1261144298687
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261144298687
java.vm.version,sysinfo,,,"15.0-b02",1261144298687
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1261144298953
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1261144299000
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1261144299015
started,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1261144299031
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1261144306875
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1261144306890
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1261144306937
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1261144307359
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1261144307375
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1261144307453
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1261144307453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144307609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144392012
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144396809
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144397230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144421261
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144459884
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144462790
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144465540
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144465665
stopped,bundle,org.eclipse.emf.teneo.eclipselink.ui,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink.ui",1261144466056
