what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1261144867259
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1261144867259
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1261144882134
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1261144882149
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1261144883634
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1261144883681
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1261144884399
activated,editor,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy.part.UMLDiagramEditorID",1261144888274
started,bundle,org.eclipse.gmf.runtime.diagram.ui.geoshapes,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.geoshapes",1261144907289
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1261144907352
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144923117
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144923117
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144923288
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144925101
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144925398
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144960646
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144963865
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144963865
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261144964271
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145027534
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145040143
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145040487
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145055486
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145055502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145055627
