what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1261145495299
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145500362
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145519033
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1261145519064
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145525689
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145525689
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145525830
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145666263
activated,editor,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy.part.UMLDiagramEditorID",1261145667731
started,bundle,org.eclipse.gmf.runtime.common.ui.services.properties,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.services.properties",1261145692543
started,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.properties",1261145692574
started,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.2.0.v20090501-1750,"org.eclipse.gmf.runtime.emf.ui.properties",1261145692715
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1261145692918
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1261145692996
activated,editor,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy.part.UMLDiagramEditorID",1261145711886
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1261145714902
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145725214
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145728417
activated,editor,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy.part.UMLDiagramEditorID",1261145747744
error,log,,,"Unhandled event loop exception",1261145764353
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145783228
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261145798180
executed,command,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.NewDeployDiagramAction",1261145798196
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145860913
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1261145861350
